Date,Value,21_Month_MA
1920-03-01,8.67,8.44952380952381
1920-04-01,8.6,8.501428571428571
1920-05-01,8.06,8.524285714285716
1920-06-01,7.92,8.542380952380952
1920-07-01,7.91,8.544761904761904
1920-08-01,7.6,8.522857142857143
1920-09-01,7.87,8.52142857142857
1920-10-01,7.88,8.522857142857143
1920-11-01,7.48,8.503809523809524
1920-12-01,6.81,8.441428571428572
1921-01-01,7.11,8.38047619047619
1921-02-01,7.06,8.289523809523809
1921-03-01,6.88,8.178571428571429
1921-04-01,6.91,8.054761904761904
1921-05-01,7.12,7.971428571428571
1921-06-01,6.55,7.854285714285714
1921-07-01,6.53,7.714285714285714
1921-08-01,6.45,7.583809523809523
1921-09-01,6.61,7.473809523809525
1921-10-01,6.7,7.3723809523809525
1921-11-01,7.06,7.322857142857143
1921-12-01,7.31,7.258095238095238
1922-01-01,7.3,7.196190476190476
1922-02-01,7.46,7.167619047619047
1922-03-01,7.74,7.1590476190476195
1922-04-01,8.21,7.173333333333334
1922-05-01,8.53,7.217619047619048
1922-06-01,8.45,7.245238095238095
1922-07-01,8.51,7.275238095238094
1922-08-01,8.83,7.33952380952381
1922-09-01,9.06,7.446666666666666
1922-10-01,9.26,7.549047619047619
1922-11-01,8.8,7.631904761904762
1922-12-01,8.78,7.722380952380953
1923-01-01,8.9,7.817142857142857
1923-02-01,9.28,7.920000000000001
1923-03-01,9.43,8.057142857142857
1923-04-01,9.1,8.17952380952381
1923-05-01,8.67,8.285238095238096
1923-06-01,8.34,8.367619047619048
1923-07-01,8.06,8.432380952380953
1923-08-01,8.1,8.481904761904762
1923-09-01,8.15,8.521904761904763
1923-10-01,8.03,8.556666666666667
1923-11-01,8.27,8.595238095238095
1923-12-01,8.55,8.633809523809523
1924-01-01,8.83,8.663333333333334
1924-02-01,8.87,8.67952380952381
1924-03-01,8.7,8.691428571428572
1924-04-01,8.5,8.690952380952382
1924-05-01,8.47,8.673809523809524
1924-06-01,8.63,8.653333333333332
1924-07-01,9.03,8.642380952380952
1924-08-01,9.34,8.668095238095239
1924-09-01,9.25,8.69047619047619
1924-10-01,9.13,8.70142857142857
1924-11-01,9.64,8.718571428571428
1924-12-01,10.16,8.753333333333334
1925-01-01,10.58,8.823809523809524
1925-02-01,10.67,8.91904761904762
1925-03-01,10.39,9.016666666666666
1925-04-01,10.28,9.122380952380952
1925-05-01,10.61,9.241904761904761
1925-06-01,10.8,9.368095238095238
1925-07-01,11.1,9.514285714285714
1925-08-01,11.25,9.656190476190476
1925-09-01,11.51,9.797142857142857
1925-10-01,11.89,9.942857142857143
1925-11-01,12.26,10.104285714285714
1925-12-01,12.46,10.283333333333333
1926-01-01,12.65,10.480952380952381
1926-02-01,12.67,10.68095238095238
1926-03-01,11.81,10.832380952380952
1926-04-01,11.48,10.949047619047619
1926-05-01,11.56,11.054761904761905
1926-06-01,12.11,11.19095238095238
1926-07-01,12.62,11.357142857142858
1926-08-01,13.12,11.522857142857143
1926-09-01,13.32,11.673333333333332
1926-10-01,13.02,11.78952380952381
1926-11-01,13.19,11.90952380952381
1926-12-01,13.49,12.057142857142857
1927-01-01,13.4,12.205714285714285
1927-02-01,13.66,12.350952380952382
1927-03-01,13.87,12.497142857142856
1927-04-01,14.21,12.645238095238096
1927-05-01,14.7,12.80952380952381
1927-06-01,14.89,12.970476190476191
1927-07-01,15.22,13.129047619047618
1927-08-01,16.03,13.308571428571426
1927-09-01,16.94,13.521904761904764
1927-10-01,16.68,13.713809523809525
1927-11-01,17.06,13.922857142857143
1927-12-01,17.46,14.191904761904762
1928-01-01,17.53,14.479999999999999
1928-02-01,17.32,14.754285714285713
1928-03-01,18.25,15.046666666666665
1928-04-01,19.4,15.369523809523812
1928-05-01,20.0,15.69714285714286
1928-06-01,19.02,15.968571428571428
1928-07-01,19.16,16.260952380952382
1928-08-01,19.78,16.574761904761903
1928-09-01,21.17,16.94047619047619
1928-10-01,21.6,17.33095238095238
